DFB Year,Region,Region Desc,Number of Fish,Species Code,Species Name,Management Area
1986,3,A-Y-K Region,261436,450,"salmon, chum",X
1986,3,A-Y-K Region,790003,450,"salmon, chum",Y
1986,3,A-Y-K Region,146917,450,"salmon, chum",Z
1986,4,Westward Region,4381,410,"salmon, chinook",K
1986,4,Westward Region,3037,410,"salmon, chinook",L
1986,4,Westward Region,17340,410,"salmon, chinook",M
1986,4,Westward Region,3188049,420,"salmon, sockeye",K
1986,4,Westward Region,1645834,420,"salmon, sockeye",L
1986,4,Westward Region,3694526,420,"salmon, sockeye",M
1986,4,Westward Region,168690,430,"salmon, coho",K
1986,4,Westward Region,116633,430,"salmon, coho",L
1986,4,Westward Region,400055,430,"salmon, coho",M
1986,4,Westward Region,11809223,440,"salmon, pink",K
1986,4,Westward Region,647125,440,"salmon, pink",L
1986,4,Westward Region,4096738,440,"salmon, pink",M
1986,4,Westward Region,1134397,450,"salmon, chum",K
1986,4,Westward Region,176640,450,"salmon, chum",L
1986,4,Westward Region,2059686,450,"salmon, chum",M
1987,1,Southeastern Region,50891,410,"salmon, chinook",A
1987,1,Southeastern Region,50729,410,"salmon, chinook",B
1987,1,Southeastern Region,38347,410,"salmon, chinook",C
1987,1,Southeastern Region,147750,410,"salmon, chinook",D
1987,1,Southeastern Region,803115,420,"salmon, sockeye",A
1987,1,Southeastern Region,392404,420,"salmon, sockeye",B
1987,1,Southeastern Region,154051,420,"salmon, sockeye",C
1987,1,Southeastern Region,22048,420,"salmon, sockeye",D
1987,1,Southeastern Region,483938,430,"salmon, coho",A
1987,1,Southeastern Region,560871,430,"salmon, coho",B
1987,1,Southeastern Region,74361,430,"salmon, coho",C
1987,1,Southeastern Region,421670,430,"salmon, coho",D
1987,1,Southeastern Region,3242481,440,"salmon, pink",A
1987,1,Southeastern Region,4138044,440,"salmon, pink",B
1987,1,Southeastern Region,1541615,440,"salmon, pink",C
1987,1,Southeastern Region,1271470,440,"salmon, pink",D
1987,1,Southeastern Region,765797,450,"salmon, chum",A
1987,1,Southeastern Region,1121729,450,"salmon, chum",B
