"year","wind.stress","ssh","KS.slp.diff","salinity.20m","54N.134W","57N.137W","60N.146W","60N.149W","egoa.spr.sst","egoa.win.sst","wgoa.spr.sst","wgoa.win.sst","papa.index"
1950,0.115293753093761,0.105311982352915,3.49552408854167,NA,-21.3333333333333,-17,-3.33333333333333,-1,-1.18766302953802,-0.519519259861592,-0.480689756126907,-0.25424087188281,47.777
1951,0.0896522332809485,0.0682441603360537,3.28474934895833,NA,10,4.33333333333333,2.33333333333333,4.66666666666667,-0.827308955621541,-0.330747938648264,-0.733057632370381,-0.322748093759235,53.313
1952,0.0977619824247865,0.101139885183751,1.90020751953125,NA,-2.33333333333333,-3.66666666666667,2.33333333333333,4,-0.51127220507026,-0.342177528838103,-0.54039044537,-0.274665670833881,49.818
1953,0.0981836790810363,0.112568207119801,12.5478515625,NA,-0.333333333333333,-0.666666666666667,0.333333333333333,1,0.0898321445830862,0.245781602216002,0.198436729424456,-0.0816702611102449,58.541
1954,0.0786089873789001,0.0888838486699622,8.83638509114583,NA,-15,-8.33333333333333,-2.66666666666667,-0.666666666666667,-0.283857063876697,0.133396163685783,-0.119142883748321,-0.343745667556338,55.92
1955,0.0849324664229002,0.0642851491256272,11.1546020507812,NA,-3.66666666666667,-7.33333333333333,2,6,-0.655196745783586,0.850459365143058,-0.25335937136337,0.561863467030679,50.403
1956,0.0829104660421195,0.0685690897907523,3.03120930989583,NA,-4.33333333333333,-5.66666666666667,1.33333333333333,5.33333333333333,0.402721491127339,-0.295424095132268,0.0114121118540252,-0.276658563327455,49.452
1957,0.0797107890657518,0.0610906682972369,8.02370198567708,NA,-5,-4,-2.66666666666667,-1.33333333333333,0.619974086743255,-0.392218741830367,0.752090822133865,-0.453231101889271,50.996
1958,0.101541500838267,0.164505235456665,11.8528645833333,NA,15,5,5,8.33333333333333,1.73531587135496,1.65249248273157,1.22846325497253,1.28913962457675,55.635
1959,0.0936419390932233,0.0966232558055939,8.8426513671875,NA,-5.66666666666667,-3.66666666666667,1.66666666666667,2.66666666666667,0.761344704952157,0.789263830705194,0.724611868312305,0.473504604303974,55.613
