year,code,value,system,description
1953,AKCLIM_EBS_ebs.spr.sst,-0.186847831,EBS,Eastern Bering spring SST
1954,AKCLIM_EBS_ebs.spr.sst,-0.737083412,EBS,Eastern Bering spring SST
1955,AKCLIM_EBS_ebs.spr.sst,-0.952802423,EBS,Eastern Bering spring SST
1956,AKCLIM_EBS_ebs.spr.sst,-0.093285308,EBS,Eastern Bering spring SST
1957,AKCLIM_EBS_ebs.spr.sst,0.442248107,EBS,Eastern Bering spring SST
1958,AKCLIM_EBS_ebs.spr.sst,1.780021516,EBS,Eastern Bering spring SST
1959,AKCLIM_EBS_ebs.spr.sst,-0.591358468,EBS,Eastern Bering spring SST
1960,AKCLIM_EBS_ebs.spr.sst,-0.245860716,EBS,Eastern Bering spring SST
1961,AKCLIM_EBS_ebs.spr.sst,-0.063449306,EBS,Eastern Bering spring SST
1962,AKCLIM_EBS_ebs.spr.sst,-0.911770106,EBS,Eastern Bering spring SST
1963,AKCLIM_EBS_ebs.spr.sst,-0.391320872,EBS,Eastern Bering spring SST
1964,AKCLIM_EBS_ebs.spr.sst,0.127014321,EBS,Eastern Bering spring SST
1965,AKCLIM_EBS_ebs.spr.sst,-0.942048911,EBS,Eastern Bering spring SST
1966,AKCLIM_EBS_ebs.spr.sst,-0.31134251,EBS,Eastern Bering spring SST
1967,AKCLIM_EBS_ebs.spr.sst,1.176296918,EBS,Eastern Bering spring SST
1968,AKCLIM_EBS_ebs.spr.sst,-0.409212519,EBS,Eastern Bering spring SST
1969,AKCLIM_EBS_ebs.spr.sst,-0.14343122,EBS,Eastern Bering spring SST
1970,AKCLIM_EBS_ebs.spr.sst,0.093484791,EBS,Eastern Bering spring SST
1971,AKCLIM_EBS_ebs.spr.sst,-1.517454187,EBS,Eastern Bering spring SST
1972,AKCLIM_EBS_ebs.spr.sst,-1.465272148,EBS,Eastern Bering spring SST
1973,AKCLIM_EBS_ebs.spr.sst,-0.887578219,EBS,Eastern Bering spring SST
1974,AKCLIM_EBS_ebs.spr.sst,-0.110167344,EBS,Eastern Bering spring SST
1975,AKCLIM_EBS_ebs.spr.sst,-1.138420416,EBS,Eastern Bering spring SST
1976,AKCLIM_EBS_ebs.spr.sst,-1.126525402,EBS,Eastern Bering spring SST
1977,AKCLIM_EBS_ebs.spr.sst,0.094148844,EBS,Eastern Bering spring SST
1978,AKCLIM_EBS_ebs.spr.sst,0.741128521,EBS,Eastern Bering spring SST
1979,AKCLIM_EBS_ebs.spr.sst,1.164320308,EBS,Eastern Bering spring SST
